Model A,Model B,Jaccard Benzerliği
word2vec_lemmatized_cbow_win2_dim100,word2vec_lemmatized_cbow_win2_dim300,0.667
word2vec_lemmatized_cbow_win2_dim100,word2vec_lemmatized_cbow_win4_dim100,1.0
word2vec_lemmatized_cbow_win2_dim100,word2vec_lemmatized_cbow_win4_dim300,0.667
word2vec_lemmatized_cbow_win2_dim100,word2vec_lemmatized_skipgram_win2_dim100,0.667
word2vec_lemmatized_cbow_win2_dim100,word2vec_lemmatized_skipgram_win2_dim300,0.667
word2vec_lemmatized_cbow_win2_dim100,word2vec_lemmatized_skipgram_win4_dim100,0.429
word2vec_lemmatized_cbow_win2_dim100,word2vec_lemmatized_skipgram_win4_dim300,0.25
word2vec_lemmatized_cbow_win2_dim100,word2vec_stemmed_cbow_win2_dim100,0.667
word2vec_lemmatized_cbow_win2_dim100,word2vec_stemmed_cbow_win2_dim300,1.0
word2vec_lemmatized_cbow_win2_dim100,word2vec_stemmed_cbow_win4_dim100,0.667
word2vec_lemmatized_cbow_win2_dim100,word2vec_stemmed_cbow_win4_dim300,0.667
word2vec_lemmatized_cbow_win2_dim100,word2vec_stemmed_skipgram_win2_dim100,0.429
word2vec_lemmatized_cbow_win2_dim100,word2vec_stemmed_skipgram_win2_dim300,0.429
word2vec_lemmatized_cbow_win2_dim100,word2vec_stemmed_skipgram_win4_dim100,0.25
word2vec_lemmatized_cbow_win2_dim100,word2vec_stemmed_skipgram_win4_dim300,0.25
word2vec_lemmatized_cbow_win2_dim300,word2vec_lemmatized_cbow_win4_dim100,0.667
word2vec_lemmatized_cbow_win2_dim300,word2vec_lemmatized_cbow_win4_dim300,1.0
word2vec_lemmatized_cbow_win2_dim300,word2vec_lemmatized_skipgram_win2_dim100,1.0
word2vec_lemmatized_cbow_win2_dim300,word2vec_lemmatized_skipgram_win2_dim300,1.0
word2vec_lemmatized_cbow_win2_dim300,word2vec_lemmatized_skipgram_win4_dim100,0.667
word2vec_lemmatized_cbow_win2_dim300,word2vec_lemmatized_skipgram_win4_dim300,0.429
word2vec_lemmatized_cbow_win2_dim300,word2vec_stemmed_cbow_win2_dim100,1.0
word2vec_lemmatized_cbow_win2_dim300,word2vec_stemmed_cbow_win2_dim300,0.667
word2vec_lemmatized_cbow_win2_dim300,word2vec_stemmed_cbow_win4_dim100,1.0
word2vec_lemmatized_cbow_win2_dim300,word2vec_stemmed_cbow_win4_dim300,1.0
word2vec_lemmatized_cbow_win2_dim300,word2vec_stemmed_skipgram_win2_dim100,0.667
word2vec_lemmatized_cbow_win2_dim300,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_lemmatized_cbow_win2_dim300,word2vec_stemmed_skipgram_win4_dim100,0.429
word2vec_lemmatized_cbow_win2_dim300,word2vec_stemmed_skipgram_win4_dim300,0.429
word2vec_lemmatized_cbow_win4_dim100,word2vec_lemmatized_cbow_win4_dim300,0.667
word2vec_lemmatized_cbow_win4_dim100,word2vec_lemmatized_skipgram_win2_dim100,0.667
word2vec_lemmatized_cbow_win4_dim100,word2vec_lemmatized_skipgram_win2_dim300,0.667
word2vec_lemmatized_cbow_win4_dim100,word2vec_lemmatized_skipgram_win4_dim100,0.429
word2vec_lemmatized_cbow_win4_dim100,word2vec_lemmatized_skipgram_win4_dim300,0.25
word2vec_lemmatized_cbow_win4_dim100,word2vec_stemmed_cbow_win2_dim100,0.667
word2vec_lemmatized_cbow_win4_dim100,word2vec_stemmed_cbow_win2_dim300,1.0
word2vec_lemmatized_cbow_win4_dim100,word2vec_stemmed_cbow_win4_dim100,0.667
word2vec_lemmatized_cbow_win4_dim100,word2vec_stemmed_cbow_win4_dim300,0.667
word2vec_lemmatized_cbow_win4_dim100,word2vec_stemmed_skipgram_win2_dim100,0.429
word2vec_lemmatized_cbow_win4_dim100,word2vec_stemmed_skipgram_win2_dim300,0.429
word2vec_lemmatized_cbow_win4_dim100,word2vec_stemmed_skipgram_win4_dim100,0.25
word2vec_lemmatized_cbow_win4_dim100,word2vec_stemmed_skipgram_win4_dim300,0.25
word2vec_lemmatized_cbow_win4_dim300,word2vec_lemmatized_skipgram_win2_dim100,1.0
word2vec_lemmatized_cbow_win4_dim300,word2vec_lemmatized_skipgram_win2_dim300,1.0
word2vec_lemmatized_cbow_win4_dim300,word2vec_lemmatized_skipgram_win4_dim100,0.667
word2vec_lemmatized_cbow_win4_dim300,word2vec_lemmatized_skipgram_win4_dim300,0.429
word2vec_lemmatized_cbow_win4_dim300,word2vec_stemmed_cbow_win2_dim100,1.0
word2vec_lemmatized_cbow_win4_dim300,word2vec_stemmed_cbow_win2_dim300,0.667
word2vec_lemmatized_cbow_win4_dim300,word2vec_stemmed_cbow_win4_dim100,1.0
word2vec_lemmatized_cbow_win4_dim300,word2vec_stemmed_cbow_win4_dim300,1.0
word2vec_lemmatized_cbow_win4_dim300,word2vec_stemmed_skipgram_win2_dim100,0.667
word2vec_lemmatized_cbow_win4_dim300,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_lemmatized_cbow_win4_dim300,word2vec_stemmed_skipgram_win4_dim100,0.429
word2vec_lemmatized_cbow_win4_dim300,word2vec_stemmed_skipgram_win4_dim300,0.429
word2vec_lemmatized_skipgram_win2_dim100,word2vec_lemmatized_skipgram_win2_dim300,1.0
word2vec_lemmatized_skipgram_win2_dim100,word2vec_lemmatized_skipgram_win4_dim100,0.667
word2vec_lemmatized_skipgram_win2_dim100,word2vec_lemmatized_skipgram_win4_dim300,0.429
word2vec_lemmatized_skipgram_win2_dim100,word2vec_stemmed_cbow_win2_dim100,1.0
word2vec_lemmatized_skipgram_win2_dim100,word2vec_stemmed_cbow_win2_dim300,0.667
word2vec_lemmatized_skipgram_win2_dim100,word2vec_stemmed_cbow_win4_dim100,1.0
word2vec_lemmatized_skipgram_win2_dim100,word2vec_stemmed_cbow_win4_dim300,1.0
word2vec_lemmatized_skipgram_win2_dim100,word2vec_stemmed_skipgram_win2_dim100,0.667
word2vec_lemmatized_skipgram_win2_dim100,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_lemmatized_skipgram_win2_dim100,word2vec_stemmed_skipgram_win4_dim100,0.429
word2vec_lemmatized_skipgram_win2_dim100,word2vec_stemmed_skipgram_win4_dim300,0.429
word2vec_lemmatized_skipgram_win2_dim300,word2vec_lemmatized_skipgram_win4_dim100,0.667
word2vec_lemmatized_skipgram_win2_dim300,word2vec_lemmatized_skipgram_win4_dim300,0.429
word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_cbow_win2_dim100,1.0
word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_cbow_win2_dim300,0.667
word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_cbow_win4_dim100,1.0
word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_cbow_win4_dim300,1.0
word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_skipgram_win2_dim100,0.667
word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_skipgram_win4_dim100,0.429
word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_skipgram_win4_dim300,0.429
word2vec_lemmatized_skipgram_win4_dim100,word2vec_lemmatized_skipgram_win4_dim300,0.667
word2vec_lemmatized_skipgram_win4_dim100,word2vec_stemmed_cbow_win2_dim100,0.667
word2vec_lemmatized_skipgram_win4_dim100,word2vec_stemmed_cbow_win2_dim300,0.429
word2vec_lemmatized_skipgram_win4_dim100,word2vec_stemmed_cbow_win4_dim100,0.667
word2vec_lemmatized_skipgram_win4_dim100,word2vec_stemmed_cbow_win4_dim300,0.667
word2vec_lemmatized_skipgram_win4_dim100,word2vec_stemmed_skipgram_win2_dim100,1.0
word2vec_lemmatized_skipgram_win4_dim100,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_lemmatized_skipgram_win4_dim100,word2vec_stemmed_skipgram_win4_dim100,0.667
word2vec_lemmatized_skipgram_win4_dim100,word2vec_stemmed_skipgram_win4_dim300,0.667
word2vec_lemmatized_skipgram_win4_dim300,word2vec_stemmed_cbow_win2_dim100,0.429
word2vec_lemmatized_skipgram_win4_dim300,word2vec_stemmed_cbow_win2_dim300,0.25
word2vec_lemmatized_skipgram_win4_dim300,word2vec_stemmed_cbow_win4_dim100,0.429
word2vec_lemmatized_skipgram_win4_dim300,word2vec_stemmed_cbow_win4_dim300,0.429
word2vec_lemmatized_skipgram_win4_dim300,word2vec_stemmed_skipgram_win2_dim100,0.667
word2vec_lemmatized_skipgram_win4_dim300,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_lemmatized_skipgram_win4_dim300,word2vec_stemmed_skipgram_win4_dim100,1.0
word2vec_lemmatized_skipgram_win4_dim300,word2vec_stemmed_skipgram_win4_dim300,1.0
word2vec_stemmed_cbow_win2_dim100,word2vec_stemmed_cbow_win2_dim300,0.667
word2vec_stemmed_cbow_win2_dim100,word2vec_stemmed_cbow_win4_dim100,1.0
word2vec_stemmed_cbow_win2_dim100,word2vec_stemmed_cbow_win4_dim300,1.0
word2vec_stemmed_cbow_win2_dim100,word2vec_stemmed_skipgram_win2_dim100,0.667
word2vec_stemmed_cbow_win2_dim100,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_stemmed_cbow_win2_dim100,word2vec_stemmed_skipgram_win4_dim100,0.429
word2vec_stemmed_cbow_win2_dim100,word2vec_stemmed_skipgram_win4_dim300,0.429
word2vec_stemmed_cbow_win2_dim300,word2vec_stemmed_cbow_win4_dim100,0.667
word2vec_stemmed_cbow_win2_dim300,word2vec_stemmed_cbow_win4_dim300,0.667
word2vec_stemmed_cbow_win2_dim300,word2vec_stemmed_skipgram_win2_dim100,0.429
word2vec_stemmed_cbow_win2_dim300,word2vec_stemmed_skipgram_win2_dim300,0.429
word2vec_stemmed_cbow_win2_dim300,word2vec_stemmed_skipgram_win4_dim100,0.25
word2vec_stemmed_cbow_win2_dim300,word2vec_stemmed_skipgram_win4_dim300,0.25
word2vec_stemmed_cbow_win4_dim100,word2vec_stemmed_cbow_win4_dim300,1.0
word2vec_stemmed_cbow_win4_dim100,word2vec_stemmed_skipgram_win2_dim100,0.667
word2vec_stemmed_cbow_win4_dim100,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_stemmed_cbow_win4_dim100,word2vec_stemmed_skipgram_win4_dim100,0.429
word2vec_stemmed_cbow_win4_dim100,word2vec_stemmed_skipgram_win4_dim300,0.429
word2vec_stemmed_cbow_win4_dim300,word2vec_stemmed_skipgram_win2_dim100,0.667
word2vec_stemmed_cbow_win4_dim300,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_stemmed_cbow_win4_dim300,word2vec_stemmed_skipgram_win4_dim100,0.429
word2vec_stemmed_cbow_win4_dim300,word2vec_stemmed_skipgram_win4_dim300,0.429
word2vec_stemmed_skipgram_win2_dim100,word2vec_stemmed_skipgram_win2_dim300,0.667
word2vec_stemmed_skipgram_win2_dim100,word2vec_stemmed_skipgram_win4_dim100,0.667
word2vec_stemmed_skipgram_win2_dim100,word2vec_stemmed_skipgram_win4_dim300,0.667
word2vec_stemmed_skipgram_win2_dim300,word2vec_stemmed_skipgram_win4_dim100,0.667
word2vec_stemmed_skipgram_win2_dim300,word2vec_stemmed_skipgram_win4_dim300,0.667
word2vec_stemmed_skipgram_win4_dim100,word2vec_stemmed_skipgram_win4_dim300,1.0
